Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Electrical System Separation (Islanding,2013,8/1/2013,6:54 PM,8/1/2013,7:37 PM,WECC RC Vancouver,Western British Columbia,WECC,420,Unknown,islanding
Loss of 300+ MW Load,2013,8/1/2013,11:19 PM,8/2/2013,12:49 AM,Florida Power & Light Co,Daytona Beach Florida,FRCC,297,"104,498",load shedding
Severe Weather - Thunderstorms,2013,7/23/2013,11:38 PM,7/25/2013,4:30 AM,American Electric Power,"Tulsa, Oklahoma",SPP,500,"92,748","severe weather, thunderstorm"
Physical Attack; Vandalism,2013,7/22/2013,7:00 AM,7/22/2013,3:00 PM,Terra-Gen Operating Company,California,WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,7/19/2013,10:30 PM,7/21/2013,8:00 PM,Niagara Mohawk Power Corporation (dba National Grid),New York,NPCC,Unknown,"74,300","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,7/19/2013,6:00 PM,7/20/2013,9:00 AM,Detroit Edison Co,Michigan,RFC,Unknown,"156,627","severe weather, thunderstorm"
Public Appeal - Heatwave,2013,7/18/2013,11:30 AM,7/19/2013,5:30 PM,Niagara Mohawk Power Corp.,Upstate New York,NPCC,Unknown,Unknown,"public appeal, severe weather, heat"
Equipment Failure,2013,7/18/2013,11:45 PM,7/19/2013,10:05 AM,San Diego Gas & Electric Co,Southern Orange County California,WECC,200,"123,000",equipment failure
Fuel Supply Emergency (Natural Gas),2013,7/17/2013,3:30 PM,7/19/2013,6:45 AM,Long Island Power Authority,"Holtsville, New York",NPCC,417,Unknown,"fuel supply emergency, natural gas"
Physical Attack; Vandalism,2013,7/12/2013,10:00 AM,7/12/2013,10:01 AM,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,7/11/2013,11:20 PM,7/14/2013,3:22 PM,Arizona Public Service Co,Arizona,WECC,455,Unknown,"vandalism, physical"
Physical Attack; Copper Theft,2013,7/10/2013,2:30 PM,7/10/2013,2:45 PM,ISO New England,"Boston, Massachusetts",NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2013,7/5/2013,12:05 AM,7/5/2013,1:51 AM,Pacific Gas & Electric Co,California,WECC,Unknown,"2,500","vandalism, physical"
Voltage Reduction; Line and Generator Trip,2013,7/3/2013,12:04 PM,7/3/2013,12:48 PM,Puerto Rico Electric Power Authority,System-wide Puerto Rico,PR,480,"393,000","voltage reduction, generator trip"
Suspected Physical Attack,2013,7/3/2013,9:34 AM,7/3/2013,10:52 AM,Sacramento Municipal Utility District,Sacramento California,WECC,0,0,"vandalism, physical"
Load Shed 100+MW,2013,7/2/2013,2:20 PM,7/5/2013,3:30 PM,Western Electricity Coordinating Council,"Alberta, Canada",WECC,200,Unknown,load shedding
Equipment Failure,2013,6/28/2013,6:02 PM,6/28/2013,8:46 PM,Southern California Edison Co,"Los Angeles and Orange Counties, California",WECC,240,"65,255",equipment failure
Physical Attack; Vandalism,2013,6/28/2013,5:14 PM,6/28/2013,5:15 PM,Delmarva Power & Light Company,New Castle Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,6/28/2013,1:00 PM,6/28/2013,1:01 PM,ISO New England,Vermont,NPCC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,6/27/2013,1:10 AM,6/27/2013,2:45 AM,Potomac Electric Power Company,"Richie Substation,Seat Pleasant, Maryland",RFC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,6/27/2013,5:00 PM,6/28/2013,12:00 AM,Detroit Edison Co,South Eastern Michigan,RFC,Unknown,"138,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/24/2013,7:30 PM,6/25/2013,5:46 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"283,451","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/24/2013,7:30 PM,6/26/2013,5:00 PM,Northern Indiana Public Service Company,Indiana,RFC,Unknown,"86,615","severe weather, thunderstorm"
Severe Weather - Fog,2013,6/23/2013,9:20 PM,6/24/2013,1:35 AM,Pacific Gas & Electric Co,Central Coast California,WECC,Unknown,"148,000","severe weather, fog"
Suspected Physical Attack,2013,6/22/2013,4:12 PM,6/22/2013,5:45 PM,NorthWestern Energy LLC - (MT),Eastern Montana,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,6/21/2013,11:14 PM,6/21/2013,11:15 PM,Delmarva Power & Light Company,New Castle Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Suspected Cyber Attack,2013,6/21/2013,8:31 AM,10/30/2013,2:09 PM,ITC Transmission,"Michigan, Iowa",MRO,Unknown,Unknown,"vandalism, cyber"
Physical Attack; Vandalism & Sabotage,2013,6/21/2013,7:40 AM,6/21/2013,12:14 PM,"Valley Electric Assn, Inc",Pahrump Nevada,WECC,Unknown,"1,100","vandalism, physical"
Severe Weather - Hailstorm,2013,6/21/2013,3:00 AM,6/26/2013,12:00 PM,Xcel Energy,Minnesota,MRO,Unknown,"193,000","severe weather, hail"
Severe Weather - Hailstorm,2013,6/21/2013,5:39 PM,6/24/2013,6:00 AM,Xcel Energy,Minneapolis/St. Paul area Minnesota,MRO,Unknown,"400,000","severe weather, hail"
Physcial Attack; Vandalism,2013,6/20/2013,6:00 PM,6/21/2013,10:00 AM,Potomac Electric Power Co,"Richie Station (No. 123), Maryland",RFC,Unknown,Unknown,"vandalism, physical"
Electrical System Separation (Islanding),2013,6/19/2013,7:57 PM,6/19/2013,8:09 PM,Western Electricity Coordinating Council,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Electrical System Separation (Islanding),2013,6/18/2013,3:51 PM,6/18/2013,4:23 PM,Western Area Power Administration,Wyoming,WECC,6,Unknown,islanding
Load Shed of 100+ MW Under Emergency Operational Policy,2013,6/17/2013,4:17 PM,6/17/2013,6:49 PM,Tampa Electric Co,Hillsborough County Florida,FRCC,180,37,load shedding
Severe Weather - Thunderstorms,2013,6/13/2013,8:47 PM,6/14/2013,10:47 PM,Southern Company,Southern Company Territory,SERC,550,"165,798","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/2013,3:20 PM,6/14/2013,9:10 PM,American Electric Power,Ohio; Virginia; West Virginia,"RFC, SERC",Unknown,"90,247","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/2013,5:45 PM,6/14/2013,6:30 PM,Duke Energy Progress,Central and Eastern North Carolina,SERC,Unknown,"53,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/2013,1:17 PM,6/14/2013,5:35 PM,Duke Energy Carolinas,Western Piedmont North Carolina,SERC,"1,000","175,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/2013,4:08 PM,6/14/2013,5:16 PM,Dominion Virginia Power,"Richmond Metro area, Virginia",SERC,900,"283,000","severe weather, thunderstorm"
Loss of 300+ MW Load; Severe Weather - Thunderstorms,2013,6/13/2013,3:30 PM,6/13/2013,4:00 PM,Potomac Electric Power Company,District of Columbia; Maryland,RFC,700,"40,000","severe weather, thunderstorm"
Electrical System Separation (Islanding),2013,6/3/2013,12:50 PM,6/3/2013,1:36 PM,WECC RC Vancouver,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Severe Weather - Thunderstorms,2013,5/31/2013,7:30 PM,6/1/2013,8:00 PM,Ameren Missouri,St. Louis Metro Area Missouri,SERC,Unknown,"100,000","severe weather, thunderstorm"
Transmission System Interruption,2013,5/31/2013,7:07 PM,6/1/2013,2:15 PM,Coffeyville Municipal Light and Power,"Southeast Kansas, Northeast Oklahoma",MRO,102,"6,300",transmission interruption
Severe Weather - Tornados,2013,5/31/2013,6:00 PM,6/4/2013,10:30 AM,Oklahoma Gas & Electric Co,"El Reno, S. Oklahoma City, Oklahoma",SPP,Unknown,"127,000","severe weather, tornado"
Severe Weather - Thunderstorms,2013,5/29/2013,8:58 PM,5/31/2013,2:53 PM,Niagara Mohawk Power Corp.,Central and Eastern New York,NPCC,Unknown,"61,795","severe weather, thunderstorm"
Physical Attack,2013,5/29/2013,12:00 AM,5/29/2013,12:02 AM,Dominion Virginia Power,"Henrico County, Virginia",SERC,Unknown,Unknown,"vandalism, physical"
Vandalism/Theft,2013,5/28/2013,1:00 PM,5/28/2013,6:00 PM,ISO New England,Maine,NPCC,None,None,"vandalism, physical"
System Wide Voltage Reduction,2013,5/22/2013,10:51 AM,5/22/2013,10:57 AM,Puerto Rico Electric Power Authority,System wide Puerto Rico,PR,280,"197,287",voltage reduction
Generator Trip; Load Shed 100+ MW,2013,5/20/2013,5:22 PM,5/20/2013,9:09 PM,Entergy Transmission - SOC,Gonzales Area Louisiana,SERC,103,"21,800","load shedding, generator trip"
Severe Weather - Tornados,2013,5/20/2013,3:00 PM,5/22/2013,5:00 PM,Oklahoma Gas & Electric Co,"Moore, Oklahoma",SPP,Unknown,"41,306","severe weather, tornado"
Vandalism,2013,5/17/2013,8:35 AM,5/17/2013,8:36 AM,Delmarva Power & Light Company,"Newcastle, Delaware",RFC,Unknown,Unknown,vandalism
Vandalism,2013,5/15/2013,2:11 PM,5/15/2013,2:12 PM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,Unknown,Unknown,vandalism
Electrical System Separation (Islanding),2013,5/9/2013,1:21 PM,5/9/2013,4:21 PM,WECC,"Alberta, Canada; Washington State",WECC,Unknown,Unknown,islanding
Electrical System Separation (Islanding),2013,5/2/2013,6:52 AM,5/2/2013,10:07 AM,WECC,Unknown,WECC,Unknown,Unknown,islanding
Electrical System Separation (Islanding),2013,5/1/2013,9:22 AM,5/1/2013,9:24 AM,Xcel Energy/Public Service Company of Colorado,Northeast Colorado,WECC,123,"35,230",islanding
Vandalism,2013,4/25/2013,4:00 PM,4/26/2013,10:55 AM,City and County of San Francisco,"Sunol, California",WECC,0,0,vandalism
Vandalism,2013,4/23/2013,11:00 AM,4/23/2013,11:01 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,Unknown,Unknown,vandalism
Electrical System Separation (Islanding),2013,4/23/2013,12:49 AM,4/23/2013,4:04 AM,Pacific Gas & Electric Co,"South of Humboldt, California",WECC,80,1,islanding
Severe Weather - Storms and Wind,2013,4/18/2013,3:00 PM,4/21/2013,3:30 AM,Detroit Edison Co,"Southeast Michigan, Michigan",RFC,Unknown,"99,188","severe weather, wind"
Suspected Physical Attack,2013,4/17/2013,3:36 PM,4/17/2013,4:53 PM,Tennessee Valley Authority,"Colbert Steam Plant in Cherokee, Alabama",SERC,Unknown,Unknown,"vandalism, physical"
Sabotage; Vandalism,2013,4/3/2013,11:05 AM,4/3/2013,2:00 PM,Colorado Springs Utilities,"Colorado Springs, Colorado",WECC,0,0,vandalism
Vandalism - Copper Wire Theft,2013,4/1/2013,8:40 AM,4/1/2013,8:41 AM,ISO New England,Connecticut,NPCC,Unknown,Unknown,"vandalism, physical"
Suspected Physical Attack,2013,3/29/2013,10:16 AM,3/29/2013,10:17 AM,Baltimore Gas and Electric,Maryland,RFC,Unknown,Unknown,"vandalism, physical"
Vandalism,2013,3/28/2013,1:01 PM,3/28/2013,1:02 PM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,Unknown,Unknown,vandalism
Physical Attack; Vandalism,2013,3/27/2013,10:25 AM,3/27/2013,12:19 PM,ISO New England,Western Massachusetts,NPCC,Unknown,Unknown,"vandalism, physical"
Vandalism,2013,3/23/2013,7:00 AM,3/23/2013,9:00 AM,ISO New England,Connecticut,NPCC,Unknown,Unknown,vandalism
Suspected Physical Attack,2013,3/18/2013,5:50 PM,3/18/2013,6:07 PM,Jacksonville Electric Authority (JEA),Northeast Florida,FRCC,0,0,"vandalism, physical"
Severe Weather - Thunderstorms,2013,3/18/2013,7:30 PM,3/20/2013,2:30 PM,Southern Company,North/Central Alabama; Georgia,SERC,800,"240,000","severe weather, thunderstorm"
Generator Trip; Load Shed,2013,3/18/2013,5:21 AM,3/18/2013,5:41 AM,Puerto Rico Electric Power Authority,Systemwide Puerto Rico,PR,350,"262,937","load shedding, generator trip"
Severe Weather - Winter Storm,2013,3/6/2013,8:22 AM,3/7/2013,10:27 AM,Dominion Virginia Power,Northwest Virginia,SERC,400,"233,000","severe weather, winter storm"
Equipment Failure; Transmission System Interruption,2013,3/4/2013,9:49 AM,3/4/2013,10:00 PM,Puerto Rico Electric Power Authority,Metropolitan area Puerto Rico,PR,Unknown,Unknown,"equipment failure, transmission interruption"
Vandalism,2013,3/3/2013,4:27 PM,3/3/2013,6:20 PM,Potomac Electric Power Company,"Tacoma Park, Maryland",RFC,Unknown,Unknown,vandalism
Transmission System Interruption,2013,3/3/2013,6:39 AM,3/3/2013,10:29 AM,Pacific Gas & Electric Co,"Merced County, California",WECC,300,"58,850",transmission interruption
Severe Weather - Winter Storm Nemo,2013,2/26/2013,1:00 PM,3/1/2013,10:00 AM,"Associated Electric Coop, Inc",Northern Missouri,SERC,Unknown,"56,444","severe weather, winter storm"
Vandalism,2013,2/21/2013,11:00 AM,2/21/2013,11:30 AM,El Paso Electric,"Las Cruces, New Mexico",WECC,Unknown,Unknown,vandalism
Electrical System Separation (Islanding),2013,2/19/2013,4:01 PM,2/20/2013,12:55 PM,Pacific Gas & Electric Co.,"Stockton, California",WECC,"13,850","6,810",islanding
Vandalism,2013,2/16/2013,7:54 AM,2/16/2013,7:54 AM,Potomac Electric Power Company,Prince George's County Maryland,RFC,1,1,vandalism
Fuel Supply Emergency - Petroleum,2013,2/13/2013,5:39 PM,2/15/2013,5:50 PM,Footprint Power Salem Harbor Operations LLC,Eastern Massachusetts,NPCC,1,1,"fuel supply emergency, petroleum"
Vandalism,2013,2/13/2013,9:30 AM,2/13/2013,9:30 AM,Potomac Electric Power Company,"Fort Washington, Maryland",RFC,1,1,vandalism
Generator Trip; Voltage Reduction,2013,2/10/2013,7:46 PM,2/10/2013,8:15 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,350,Unknown,"voltage reduction, generator trip"
Vandalism; Equipment Fault,2013,2/9/2013,8:30 AM,2/9/2013,3:00 PM,El Paso Electric Co.,"El Paso, New Mexico",WECC,Unknown,Unknown,"vandalism, equipment failure"
Equipment Trip & Failure,2013,2/8/2013,11:38 AM,2/8/2013,2:17 PM,Potomac Electric Power Company,District of Columbia; Prince George's County Maryland,RFC,140,"52,000",equipment failure
Severe Weather - Winter Storm Nemo,2013,2/8/2013,8:55 PM,2/12/2013,4:00 AM,ISO New England/NSTAR,Boston area and Southeast Massachusetts,NPCC,Unknown,"50,000","severe weather, winter storm"
Vandalism,2013,2/7/2013,8:32 AM,2/7/2013,9:47 AM,Duke Energy Ohio Inc,"Cincinnati, Ohio",RFC,Unknown,0,vandalism
Severe Weather - Wind Storm,2013,1/31/2013,6:30 AM,1/31/2013,10:00 AM,ISO New England,Connecticut,NPCC,75,"75,000","severe weather, wind"
Severe Weather - Wind Storm,2013,1/31/2013,3:05 AM,1/31/2013,4:48 AM,Dominion Virginia Power,Central and Eastern Virginia,SERC,188,"119,000","severe weather, wind"
Physical Attack,2013,1/28/2013,4:46 PM,1/28/2013,6:00 PM,Tacoma Power (TPWR),"Tacoma Narrows Crossing, Washington",WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Wind Storm,2013,1/20/2013,3:30 AM,1/23/2013,6:15 AM,Detroit Edison Co,Southeastern Michigan,RFC,Unknown,"146,500","severe weather, wind"
Distribution Interruption,2013,1/17/2013,8:35 PM,1/17/2013,9:20 PM,North Carolina Eastern M P A,"Elizabeth City, North Carolina",SERC,40,"12,000",distribution interruption
Severe Weather - Winter Storm,2013,1/17/2013,6:07 PM,1/20/2013,7:30 PM,American Electric Power (AEP),"Southwest Virginia, Southern West Virginia",RFC,Unknown,"127,000","severe weather, winter storm"
Severe Weather - Winter Storm,2013,1/17/2013,7:02 PM,1/19/2013,6:00 PM,Tennessee Valley Authority,Northeast Tennessee,SERC,Unknown,"80,000","severe weather, winter storm"
Suspected Physical Attack,2013,1/16/2013,4:45 PM,1/16/2013,7:26 PM,Public Service Company of New Mexico,"San Juan County, New Mexico",WECC,0,0,"vandalism, physical"
Physcial Attack; Vandalism,2013,1/16/2013,2:25 PM,1/16/2013,2:25 PM,Delmarva Power & Light Company,"Denton, Maryland",RFC,Unknown,Unknown,"vandalism, physical"
Physcial Attack; Vandalism,2013,1/7/2013,10:43 AM,1/7/2013,10:43 AM,Delmarva Power & Light Company,"Denton, Maryland",RFC,Unknown,Unknown,"vandalism, physical"
Transmission Interruption,2012,12/31/2012,2:21 PM,12/31/2012,4:30 PM,City of Washington - (NC),North Carolina,SERC,40,"12,000",transmission interruption
Severe Weather - Thunderstorm,2012,12/26/2012,2:50 PM,12/26/2012,7:40 PM,Town of Stantonsburg - (NC),"Stantonsburg, North Carolina",SERC,3,"1,200","severe weather, thunderstorm"
"Severe Weather - Cold Front, High Winds",2012,12/25/2012,9:28 AM,12/26/2012,4:28 PM,CenterPoint Energy,"Houston, Texas",TRE,294,"262,000","severe weather, cold, wind"
Severe Weather - Winter Storm,2012,12/25/2012,12:45 AM,12/28/2012,4:15 PM,Entergy,Arkansas; Louisiana; Mississippi; Texas,SPP,Unknown,"242,509","severe weather, winter storm"
Suspected Physical Attack,2012,12/17/2012,6:55 AM,12/17/2012,7:00 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,0,0,"vandalism, physical"
Load Shed,2012,12/6/2012,9:18 PM,12/6/2012,9:31 PM,California Department of Water Resources,"Greater San Jose, California",WECC,390,Unknown,load shedding
Suspected Physical Attack,2012,12/3/2012,12:02 PM,12/3/2012,12:30 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,0,0,"vandalism, physical"
Severe Weather - Winter Storm,2012,12/2/2012,5:20 AM,12/4/2012,9:00 AM,Pacific Gas & Electric Co,Northern California,WECC,250,"125,000","severe weather, winter storm"
Physical Attack; Vandalism,2012,11/27/2012,1:07 PM,11/27/2012,1:40 PM,ISO New England,New Hampshire,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/26/2012,12:37 PM,11/26/2012,12:38 PM,Delmarva Power & Light Company,"Frankfort, Delaware",RFC,0,0,"vandalism, physical"
Fuel Supply Deficiency,2012,11/17/2012,10:00 AM,11/18/2012,10:00 AM,ERCOT,"Comanche Peak, Texas",TRE,"1,231",0,fuel supply emergency
Suspected Cyber Attack,2012,11/15/2012,9:09 PM,11/15/2012,9:26 PM,ITC Transmission,Iowa; Michigan,MRO,Unknown,Unknown,"vandalism, cyber"
Physical Attack; Vandalism,2012,11/15/2012,5:38 AM,11/15/2012,5:39 AM,ISO New England,Southeast Massachusetts,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/8/2012,9:34 AM,11/8/2012,9:35 AM,Delmarva Power & Light Company,"Bishopville, Maryland",RFC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/7/2012,2:21 PM,11/7/2012,2:48 PM,ISO New England,New Hampshire,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/2/2012,9:30 AM,11/2/2012,12:10 PM,ISO New England,"Concord, Vermont",NPCC,0,0,"vandalism, physical"
Severe Weather - Nor'easter,2012,10/30/2012,2:00 AM,11/1/2012,10:00 PM,Detroit Edison Co,Greater Detroit Michigan,RFC,Unknown,"133,777","severe weather, storm"
Physical Attack; Vandalism,2012,10/30/2012,3:00 PM,10/30/2012,3:01 PM,Black Hills/Colorado Elec.Util,"Pueblo, Colorado",WECC,Unknown,Unknown,"vandalism, physical"
Vandalism,2012,10/30/2012,1:20 PM,10/30/2012,1:25 PM,ISO New England,"Fitzwilliam, New Hampshire",NPCC,0,0,vandalism
Physical Attack; Vandalism,2012,10/30/2012,12:00 AM,10/30/2012,12:02 AM,Potomac Electric Power Company (PEPCO),"Hyattsville, Maryland",RFC,0,0,"vandalism, physical"
Severe Weather - Hurricane Sandy,2012,10/29/2012,12:00 AM,11/9/2012,11:59 PM,FirstEnergy Corp: Mon Power Company,West Virginia,RFC,0,"208,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,4:00 PM,11/5/2012,11:59 PM,FirstEnergy Corp: CEI,Greater Cleveland Ohio,RFC,0,"346,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,4:00 PM,11/7/2012,11:48 PM,FirstEnergy Corp: Met-Ed,Eastern Pennsylvania,RFC,0,"270,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,12:00 PM,11/4/2012,11:00 PM,FirstEnergy Corp: Jersey Central Power & Light,New Jersey,RFC,Unknown,"217,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,8:00 AM,11/4/2012,11:00 PM,Atlantic City Electric Co,New Jersey,RFC,Unknown,Unknown,"severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,6:11 PM,11/4/2012,10:50 PM,PPL Electric Utilities Corp,Central Pennsylvania,RFC,Unknown,"400,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,3:15 PM,11/4/2012,8:00 PM,ISO New England/CONVEX,"Connecticut, Western Massachusetts",NPCC,0,"649,075","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,6:12 PM,10/30/2012,7:35 PM,Dominion Virginia Power,Virginia,RFC,520,"156,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,4:01 PM,11/8/2012,7:00 PM,Consolidated Edison Co-NY Inc,"Greater New York City, New York",NPCC,0,"818,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,2:40 PM,10/30/2012,6:16 PM,ISO New England obo NSTAR,"Boston, Southeast Massachusetts",NPCC,Unknown,"50,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,9:00 AM,11/2/2012,6:00 PM,Delmarva Power & Light Company,"Delaware, Maryland",RFC,Unknown,"70,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,4:00 PM,11/8/2012,5:08 PM,FirstEnergy Corp: Potomac Edison,Maryland; West Virginia,RFC,Unknown,"150,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,7:15 PM,10/30/2012,3:02 PM,ISO New England,Southeast and Seacoast Maine,NPCC,Unknown,"50,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,1:00 PM,11/12/2012,2:00 PM,Long Island Power Authority (LIPA),"Long Island, New York",NPCC,0,"632,816","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,4:03 PM,11/6/2012,12:00 PM,PSE&G,New Jersey,NPCC,Unknown,"50,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,6:48 PM,11/4/2012,11:36 AM,Iberdrola USA (NYSEG),New York,NPCC,Unknown,"371,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,5:13 PM,10/31/2012,11:00 AM,Baltimore Gas & Electric Company,Greater Baltimore Maryland,RFC,0,"219,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,6:46 PM,11/3/2012,10:45 AM,"Orange and Rockland Utilities, Inc.",Southeast New York; New Jersey,"NPCC, RFC",Unknown,"200,000","severe weather, hurricane/tropical storm"
Physical Attack; Vandalism,2012,10/29/2012,9:00 AM,10/29/2012,9:01 AM,City of Tacoma (TPWR),"LaGrande, Washington",WECC,0,0,"vandalism, physical"
Severe Weather - Nor'easter,2012,10/29/2012,7:00 PM,11/2/2012,5:00 AM,American Electric Power,Indiana; Kentucky; Michigan; Ohio,"RFC, SERC",Unknown,"173,273","severe weather, storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,2:45 PM,11/1/2012,1:30 AM,ISO New England/REMVEC,Eastern Massachusetts,NPCC,Unknown,"50,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/2012,5:30 PM,11/6/2012,12:00 AM,Exelon Corporation/PECO,Greater Philadelphia Pennsylvania,RFC,Unknown,"850,000","severe weather, hurricane/tropical storm"
Physical Attack; Vandalism,2012,10/25/2012,6:51 PM,10/25/2012,7:30 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,10/25/2012,2:39 PM,10/25/2012,6:00 PM,Black Hills/Colorado Elec.Util,"Pueblo, Colorado",WECC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,10/24/2012,3:15 PM,10/24/2012,3:16 PM,Delmarva Power & Light Company,"Frankford, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,10/24/2012,12:00 AM,10/24/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"Kingswood, Maryland",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,10/24/2012,12:00 AM,10/24/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"Brighton, Maryland",RFC,0,0,"vandalism, physical"
Transmission System Interruption,2012,10/23/2012,9:10 AM,10/23/2012,9:16 AM,"Crawfordsville Electric, Light & Power","Crawfordsville, Indiana",RFC,49,"9,800",transmission interruption
Physical Attack; Vandalism,2012,10/22/2012,12:00 AM,10/22/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"Norbeck, Maryland",RFC,0,0,"vandalism, physical"
Vandalism; Theft,2012,10/15/2012,2:15 PM,10/15/2012,2:16 PM,ISO New England,Southeast Vermont,NPCC,0,0,"vandalism, physical"
Electrical System Separation (Islanding),2012,10/14/2012,10:36 AM,10/14/2012,10:50 AM,Pacific Gas & Electric Co,Northern California,WECC,3,"2,035",islanding
Vandalsim,2012,10/11/2012,12:00 AM,10/11/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"Seat Pleasant, Maryland",RFC,0,0,vandalism
Vandalsim,2012,10/9/2012,12:00 AM,10/9/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"Seat Pleasant, Maryland",RFC,0,0,vandalism
Voltage Reduction,2012,9/26/2012,9:16 PM,9/26/2012,10:18 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,"371,526",voltage reduction
Suspected Physical Attack,2012,9/24/2012,12:00 AM,9/25/2012,12:00 AM,PEPCO (Potomac Electric Power Company),"Brighton, Maryland",RFC,0,0,"vandalism, physical"
Electrical System Separation (Islanding),2012,9/11/2012,1:00 PM,9/11/2012,1:58 PM,WECC - Loveland,"Alberta, Canada",WECC,0,0,islanding
Severe Weather - Thunderstorms,2012,9/8/2012,3:53 PM,9/9/2012,7:46 PM,Dominion Virginia Power,Virginia,SERC,475,"119,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,9/8/2012,3:40 PM,9/8/2012,6:45 PM,PEPCO (Potomac Electric Power Company),"Prince George's County, Montgomery County Maryland; D.C.",RFC,UNK,"65,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,9/7/2012,9:30 PM,9/8/2012,1:00 AM,Entergy Corp,Arkansas,SERC,UNK,"64,951","severe weather, thunderstorm"
Electrical System Separation (Islanding),2012,9/5/2012,10:56 AM,9/5/2012,11:27 AM,WECC Reliability Coordinator,"Alberta, Canada",WECC,0,0,islanding
