review,sentiment
Размер не соответствует заявленному.  Не подошёл по размеру,neutral
"для худых дам не подойдет, пришел с дырой",neutral
"Товар не получила.... Посылка была возвращена продавцу, так и не достигнув территории РФ (((",negative
я ждала заказ 2 месяца!!! только с помощью с службы поддержки!!!,negative
не понравился,neutral
"продавец не отправил посылку. ждала 2 дней и открыла спор. Али экспресс закрыли спор в мою пользу. продавец врал, что выслал.",negative
Доставка две недели. Отличное качество,positive
товар не пришел( деньги не вернули(,negative
отвратительная линия плеча!либо брак либо такой ублюдочный фасон 'жаль -не успела открыть спор!,negative
"Запах ужасный, непропорциональный и ничуть не короткий  разочарована заказом",negative
"Чашечки на фото разведены, нам пришел с совмещенными. Просили трусики большего размера, но продавец отказывается менять.",positive
"Мне не очень понравилось, на картинке выглядит лучше, к тому же у меня довольно широкие плечи и оно задирается вверх к шее, придётся подарить кому-то или продать",positive
"товак к моему сожелению ещё не пришол, возврат сретст не произведён, продления ожидания небыла ,продовец на связь не вышел деньги взяли товара нет!!!",negative
Качество не очень ,neutral
"разочарованна. блузка Не как на фото. на фото скорее всего льняные/хлопковые вещи. эта блуза синтетика не самого лучшего качества, сидит не так, рукава не такие пышные, верх не так выглядит, короткая очень и вообще смотрится очень дешево, носить стремно, и продать не получится, кто такое гно купит? и да, на 48 рус ог 101 xxl мал.",negative
"заказ так и не получила. сроки доставки на странице товара указаны одни, помле заказа продавец автоматически их продлил. меня это скорее расстроило, я расчитывала на быструю доставку,как и читала в предыдущих отзывах. но сроки доставки прошли, а мой заказ так и не вышел из китая. продавец всю дорогу извинялся и просил подождать еще.рисковать не стала. открыла спор. деньги вернули, заказ не получила",negative
"Заказ шёл чуть меньше месяца . Приятное на ощупь , немного торчат нитки , но не страшно . Размер мал, в груди очень маленький , хотя брала максимальный размер. ",negative
"Качество отлично ,но маломерки. Подошло на М.",positive
"На рост 173см длина отличная, хорошо сидит на ОГ 90, ОТ 64",positive
"Хорошая рубашка, ткань приятная, цвет яркий. Размер L на 42-44 при росте 175 см сел свободно, как на фото, но можно и М (если плечи маленькие). В принципе  всем довольна. Продавцу огромное спасибо! Доставка до Краснодара около 10 дней.",positive
"заказала эти легенсы уже второй раз, классные! !!катышек нет, лёгкие и тёплые.",positive
"свитер пришел бракованным- с затяжк
ами и спущенными петлями. Некачественный товар. Разочарована.",negative
"Шапка не плохая, подошла по размеру. Заказала черную. Без запаха, все аккуратно, не мятая, ни чего не осыпается (пока).Ожидала, что она будет вязанная(тонкая), а на самом деле это плотный трикотаж (как футболки делают, просто плотность больше), внутри флис. Для ранней осени и поздней весны подойдет. Нареканий к качеству нет! Доставка в ближнее подмосковье в течении 14 дней. Получила в почтовом отделении. Фото делать не буду, т.к. ни чем не отличается от предыдущих отзывов.",neutral
"Первое, что сразу чувствуется - отвратительный запах... Пахнет чем-то протухшим... Размер не подошел, хотя все измеряла в соответствии с размерами у продавца. Товаром не довольна, была разочарована. Ожидала лучшего.",neutral
"пришла с пятнами, деньги не вернули, махинации со стороны продавца и алиэкспресса.",negative
"к сожалению платье пришло криво сшито, но сидит неплохо на российский 44-46, и не на широкие бедра,  ушила бы на талии,  на большой груди, конечно, было бы лучше.  открыла спор,  вернули всю стоимость платья, на этом большое спасибо
 и 3 звезды. блестки сильно сыпятся",negative
"замечательная юбка, приятный материал, подкладка. примерно по колено, МБ чуть выше (мой рост 170см). из минусов, просто маленькие придирки, резинка может быть немного туговатой, тяжело надеть если бедра широкие, но зато талию делает уже. еще немного топорщатся складки по бокам у резинки, из-за того, что эта самая резинка находится только сзади, но их можно убрать, сгладив назад. такие дела.
очень довольна покупкой и доставка быстрая, спасибо :>",positive
товар не соответствует описанию матерьял  синтетика. а написано хлопок,negative
"сами штаны ничего такие,материал не кожа естественно. сняла звезды,так как они сильно маломеоят. в жизни ношу L (46-48) тут сверилась с таблице размеров и рештла взять побольше  xxl все таки китай....вообщем штаны пришли с биркой ххл, но выглядили на оазмер s. в итоге еле натянула. явная ошибка в таблице размеров. продавец вернул половину суммы",neutral
"продавец отправил 21.09 получила в Ростовскую области.  18.10, бельё очень даже не плохое за 4.58$,НО моя ошибка в размере мои параметры бедра97,талия87, смогла одеть только на ляшку на фото видно надо было заказыватьна2 размера больше,ну вообще-то продавец молодец.",neutral
Это синтетика,neutral
"качество вполне нормально,но вот с длинной рукавов и штанин какая-то беда!штаны короткие,рукава короткие. хотя заказывал размер L на свой 42 рост 172 ,пижама вышла достаточно свободная,как я и хотела,но вот сшита на карлика",neutral
"Большое спасибо
 куртка  очень понравилась. Удачи вам.",positive
Хорошие носки ,positive
"как всегда без нареканий ,быстрая доставка отличное качество  xl на 46",positive
продавец отправил не на тот адрес.но сразу согласился деньги вернуть,negative
"прислал  футболку моего размера xxl , российский размер 50. ОГ104
 покупала за 580 руб.",positive
"большое спасибо продавцу, размер подошел для девочки 12 лет, рост 155, соответствует фото,отдельное спасибо за курьерскую доставку, только на мой взгляд пуха внутри недостаточно.",positive
"Посылка дошла быстро, Товар соответствует описанию.Советую продавца!",positive
"Цвет ужасный, как будто в фольгу обернулась, штаны короткие и широкие, кофта хорошая",negative
"Ткань плохая, синтетика, сильно электризуется и прилипает к телу, но само по себе платье красивое рисунок четкий, но размер не подошел, это не маломерка, так что покупайте размер в размер. Я заказала M только из-за того, что думала будет короткое, но зря, длинна нормальная",neutral
"заказывала самую мелкую сетку, пришла средняя. доставка 2 недели",negative
все отлично..но очень долгая доставка.,positive
Очень-очень короткое и юбка просвечивает как тюль,negative
"платье немного велико в боках, но мо
жно ушить, рукава как раз, размер xl брала",positive
Очень маломерит!!! Размер XL соответствует с натяжкой S,negative
"Товар не пришёл . Продавец писал ,чтоб я отменила спор,что заказ в пути ещё. Но прошло уже почти три месяца и ничего нет и не отслеживается. Али вернули деньги .",neutral
очень по,neutral
"Товар не получила, на фото видно, что  02.07.2017- прибыл в Россию, далее трекинг не отслеживается.",negative
"На российский 46 заказала XL, но футболка мала ((( жаль",neutral
Носки тонкие,neutral
Great product!,positive
"Товар не пришел. Трек с самого начала не отслеживался, перед истечением срока защиты попросила продавца продлить срок. Продавец сказал, что все нормально, через две недели приедет. Спустя эти две недели вновь открыла спор. Продавец опять сказал ждать две недели. Я попросила перезапустить таймер, а он вернул деньги. Доставка была платная, её стоимость не возместили, только сумму за товар.",negative
"Все время хожу на почту в надежде, что все таки я получу свой товар, но нет. Открывала спор, но продавец дал фото доказательство что товар на месте. Не знаю где он, но не у меня. Обидно за свою денюжку..",negative
Доставка 70 дней. На Новый год не пришло!,neutral
"Плотное платье, лёгкий стрейч. Хорошая посадка. Быстрая доставка. Трек отслеживается. Спасибо продавцу!",positive
"Заказала 12.09, пришла 28.09, впечатления двоякие, на ОБ 95 заказала L и в области груди немного тесновато(нужно постоянно поправлять), пуговицы перешивала тк со стандартными выглядело очень дешево, были торчащие нитки, также цепляются нитки из самой ткани при застегивании пуговиц, с продавцом не общались.",neutral
Хорошая футболка. Пришла очень быстро. Спасибо.,positive
"Товар застрял в Латвии, деньги не вернули.  С одной стоны продавец не виноват. С другой не приятно что и ничего сделать не можешь",negative
Блузка красивая.Синтетика.Рукава очень короткие.,neutral
"С доставкой мне не повезло - 21 день, курьер принес домой. Упакован в ЗИП пакет и в почтовый. 
Я долго не могла определиться с размером, на параметры ОГ 95, ОТ 78, ОБ 103, рост 163 продавец советовал S-ку. Но меня смущал рост боялась утонуть, перечитав отзывы решилась на XS. И не прогадала, сел отлично. В груди есть запас, думаю 98-100 войдёт без проблем. в талии тоже всех
 хорошо, даже для беременяшек. Бедра сели четенько, думаю до 105, хватит (только не льстите себе))). Если конечно хотите, что бы в бедрах висел, нужно размер больше, а так сидит как спорт штаны обычные. Теперь мотня, на мой рост она висит до середины бедра, т.е. если бы я взяла размер больше висело бы все на коленях или ниже. 
Снизу штанины (в моем росте) собираются гармошкой немного. Я бы советовала ориентироваться по росту при подборе размера. 
Замеры: под руками 49 см, в районе бедер 52 см, длина от плеча до низу 158 см
Ткань приятна к телу. Как поведет себя после стирки не понятно, дополню отзыв",positive
"Шёл практически месяц, тк рост 160 то платье на талии, но на ладонь ниже колена. Снаружи похоже велюр, внутри синтетика. ",positive
"Товар не пришёл, деньги продавец вернул",positive
товар не доставлен. деньги вернули. время потеряно.,negative
"Не очень,долгая доставка",neutral
"Платье среднего качества из-за ткани, соответствует картинке. Стоит своих денег. Пришло быстро.",positive
Прошло 4 месяца с продом.продлевали защиту товара.Но увы товар до сих пор не получили.Пришлось открыть спор.Прод. деньги вернул сразу.Спасибо!,negative
Очень довольна заказом! Платье отличное!  получила заказ. Рекомендую!!! Буду покупать другого цвета такое платье!,positive
они классныееее нет слов,positive
"Тонкая, ниток торчит больше чем сама кофта. Рукава узкие ппц, воротник гавно",negative
"Пришли большие не по размеру, придется их ушивать. И очень долго шел товар.",neutral
"пришла быстро, отслеживалась,цвет не совсем такой и не выглядит как у покупателей из других отзывах, у них как будто настоящая. мех конечно вблизи чуть похож на настоящий, на ощущение прям как кроличий.",positive
"Рубашечка отличная, на 44-46 ,взяла L",positive
"Мне не понравилась майка. Видно на фото, какая она кривая. Даже своих 123 рублей её стоит,",neutral
"Юбка оказалась мала. На бёдра 90 размер М не подошёл. Очень не понравилось, что низ и разрез не подшиты. Низ, к тому же обрезан не ровно. Вид такой, что изделие не доделано.",neutral
"Не подошла по размеру, мой рост 168 см, ",positive
"Хорошая юбка, мне очень нравится как она подчеркивает силуэт , пришла быстро , посторонних запахов не было",positive
"Средненькое платье, тонкий трикотаж, на спине не село, как будто спина пошита на размер больше...(",neutral
"Заказ пришёл быстро, супер.",positive
скатывается после пару носок,neutral
"После первой носки катышки, цену свою оправдывают",positive
"Юбка хорошая по качеству и на внешний вид, но я прогадала с размером чуть-чуть(",positive
"Идеальное чёрное платье, именно такое какое я хотела!!!!! Конечно есть немного торчащих ниточек, но за эту цену просто восхитительно, заказом довольно как никогда. На свои параметры 90-74-99 взяла XXXL, великовато, но взяла бы на размер меньше, уже рукава были бы маленькой длины, так что на девушек до 170 будет нормально, мой рост 175 рукава тык в притык.",positive
"Легинсы тёплые, матовые, заканчиваются дополнительно вшитыми эластичными манжетами (как плотные колготки). Очень удобно, и подойдут на более высокий рост. S можно заказывать на размер 42-44. Очень рекомендую",positive
заказ шел долго до Урала. не качественно прошиты швы на плечах. впереди торчат нитки. синтетика. xl на  русский 48 великоват. частично быстро вернули деньги,negative
"Кофта мягкая, шла 1,5 месяца, цвет не такой яркий, как на фото продавца. И размер XL скорее 46 р.",positive
Размер М соответствует российскому 42-44.Качество хорошее. В комплекте 5 штук.,positive
"футболка ооооочень мягкая, рисунок как бы вбит в ткань, а не приклеен сверху. тянется хорошо",positive
Товар не пришёл. Трек отслеживался на чужую посылку. Деньги вернули через спор.,neutral
качество хорошее!,positive
"заказ так и не пришел. что делать , а заказывала
 почти 2 месяца назад",negative
заказ пришёл быстро но было на голубой части беле пятно,negative
"Все супер, только ожидала их на Флисе,так как на фото в кружечке подкладка-мех-думала они зимние, к тому же в описании написано-зима, толстый флис.",neutral
"Товар просто тупо не пришел,оформляли товар так же очень долго не советую покупать другим.",negative
"товар не пришел, два раза продавец просил отменить спор. Отменяла, но халат так и не дошел( от продавца даже было предложение подтвердить доставку, а он взамен мне вышлет новый халат. побоялась, вдруг развод!",neutral
отличная юбка!,positive
"Все неплохо, только качество материала не то и  не кашемир это вовсе... БРАК в изделии!!! ДЫРКА на вороте!!!",negative
Великовата(((,neutral
"Продавец отправил неправильную модель, пришла Рубашка  с длинными рукавами, совпадающего цвета, но фасон совершенно другой, открыла диспут, вернула половину стоимости. Рубашка которую получила отличного качества, плотный хлопок, на парам5тры 95-78-95, рост 160см xxl  как раз, по длине и рукавам и плечам хорошо и на груди застегивается, отличная рубашка отличного качества, но мне теперь придется опять заказывать тк мне нужна с коротким рукавом.  Итого- продавца и товар рекомендую. Закажу опять у него, надеюсь во второй раз пришлет правильную модель.",positive
"Качество отличное,доставка быстрая. Рекомендую продавца!",positive
"ужасное качество!Гольная синтетика,просвечивает,электризуется!размер не соответствует,маломер.",negative
Ничего общего с картинкой,negative
"Не покупайте у этого продавца ! Платье пришло ношенное, застираное и все в каташках и зацепках. с изнанки тоже скатано. видно что носили и стирали не раз. Деньги не вернули даже через спор!",negative
"короткие рукава и на мой 44-46 русский размер впритык. и цвет светлее цвета мокрого асфальта...расстроена
но с продавцом общалась нормально и до москвы заказ прилел через 2 недели",neutral
Красивый свитер. Немного колется. Рукава коротковаты,positive
"Ordered XL size to mom, but it's too small,  pyjamas XL size equals S size",neutral
"Товар не отслеживается,не доставлен.деньги не вернули.не заказывайте у этого продавца ничего!!!",negative
"Не пришло, деньги вернули ",neutral
"мне не понравилось. халат с молнией. молния толстая, ткать тонкая. все собралось непонятно как. Цена соответствует качеству.",negative
"Платье пришло за 10 дней. Все качественно прошито, запаха нет, нитки не торчат. Но я немного промахнулась с размером. На мой 42-44 можно было взять S. Из-за больших плеч и длинны рук решила взять побольше чтоб наверняка, но в итоге в талии свободно и топорщится. Буду ушивать. Платье идёт размер в размер.",positive
Спасибо все отлично !,positive
"Товар пришёл,но на почтовом отделение его нет,уже месяц.",negative
"заказ не пришел! продавец даже не пытался общаться! деньги смешные конечно, но НЕ РЕКОМЕНДУЮ!",negative
"На фото все выглядит очень хорошо, а пришёл костюм качество ужасное, штаны просвечивают.",negative
"Великолепное платье! Очень стильное и необычное!  К пошиву претензий нет, все отлично. Внутреняя ткань хлопок, форму держит очень хорошо. Продавец отправил заказ сразу в день заказа, всегда был на саязи. Трек отслеживался, доставка рекордно быстрая 11 дней! Рекомендую и товар и продавца на 100%!!!",positive
"Товар пришел быстро. Спасибо продавцу, все как на картинке.",positive
Хорошие. Штаны хорошо упакованы нитки нигде не торчат,positive
"резинки все целые, по цветам крутые, а самое главное-хорошо держат",positive
"ничего не получила деньги не вернули не рекомендую такого продавца,мошенник!",negative
"Отличные леггинсы. Плотные, тёплые, на рост 170 не короткие. Заказала вторые в другом цвете",positive
"Качество хорошее, с рисунком всё в порядке. После стирки футболка осталась в прежнем состоянии.",positive
"Цвет и качество на фото сильно отличаются . На деле пришла обычная хлопковая водолазка, серо-бежевого цвета. ",neutral
"Платье не понравилось,качество швов отвратительное,где пришит белый низ нитки перетянуты,смотрится ужасно.Белая подол торчит как парашют,на картинке выглядит намного лучше чем в жизни.Доставка месяц.Открыла спор,часть денег вернули.",neutral
"размер совсем не подошёл,юбка оказалась очень маленькой. Качество тоже среднее,но  для такой цены пойдет. Заказывайте на размер или два больше своего!",neutral
"Пришел с браком, не работала молния. Вернули деньги, сколько и просила. Видимо, мне просто не повезло . По общему качеству куртки - тут никак не пять звезд. Дешевая парашютная ткань и дебильные надписи, пожалуй, не носила бы такую даже если посчастливилось получить без брака. По качеству не стоит и тыщи.",neutral
Платье пошито хорошо. НО. Материал ужасен. Это неопрен. Из него можно делать водолазную одежду. Бррр. Не оденешь. Выброшенные деньги((,positive
"Кофта пришла с огромной дыркой под мышкой, пришлось зашить и пообрезать торчащие нитки. а так кофта хорошая. надеюсь, она не поползет по шву еще раз.",neutral
"Пришла быстро, за полторы недели до МО. Мягкая, приятная на ощупь, ТЁПЛАЯ. Ткань сверху не очень конечно, все липнет к ней, но этот момент можно было бы пропустить, если бы мне прислали того цвета, которого заказывала. Заказывала темно-синий (navy blue), приехала чёрная, за это и снижаю оценку продавцу. ",neutral
"Хорошая рубашка, отлично смотрится. Мнётся правда ужас. ",positive
"низ узкий, перешивать, но беру уже третью из-за ткани",neutral
"продавец обманщик! покупать у него не советую - это как лотерейный билет. кому повезет, а кому нет! посылку ждала больше 2-х месяцев.ничего не пришло. открыла спор, деньги не вернули даже через обострение спора! ""посылка была получена"", но я ничего не получала. в почту ничего не приходило. давно заказываю с алиэкспресса на эту почту - это к тому, что работникам почты доверяю.подобного не было.
НЕ ЗАКАЗЫВАЙТЕ У ЭТОГО ПРОДАВЦА! РИСКУЕТЕ БЫТЬ ОБМАНУТЫМИ!",negative
Юбка немного пришла больше чем заказывала хотя размер самый маленький брала,neutral
"летнее платье, очень тоненькое...больше 600р не стоит,на пару раз надеть... доставка 3 недели курьером.",neutral
"Куртка пришла качества не очень. Тонкая, почти как ветровка, на позднюю весну или раннюю осень. Ужасно пахло сыростью. А о размере я вообще молчу! Заказала ""М""  на русский 40-42, думала будет как раз в обтяжку. Но не тут то было, рукава нормально, а вот на мне она даже не застегнулась!  Перед отправкой заказа, общалась с продавцом, сказал, что будет нормально судя по моим параметром. Но, увы. Итог: Маломерит кошмарно, пришла с запахом, а лечи на шее.",negative
"На мой русский 4 размер, заказала D, но до D ему далеко, прикрыл только треть груди. ничего не поддерживает. Одеть можно с  открытым платьем, только чтобы соски не выпирали...",neutral
"по отзывам покупателей заказала на размер меньше своего, маловаты, но на лазают. не воняли, нитки не торчали, все хорошо упаковано.",neutral
"понравилась,буду заказывать ещё у этого продавца!",positive
"до СПб 2,5 месяца, ткань прозрачная, голимая синтетика. своих денег вообще не стоит! карманы вообще пришиты на разном уровне.",neutral
"на российский 44 размер заказала L. идеально подошло. но на полные ноги не налезет.рост у меня 160 - по длине тоже в самый раз. высоким не подойдет. качество очень хорошее, всё прошито ровно, нигде ничего не торчит и не топорщится, сидит супер. пришло в СПб за три недели. по поводу того, что очень теплые сказать не могу - в -3 без колготок комфортно, но мне и в джинсах при такой температуре ок. думаю, если будет холоднее они не особо согреют, подкладка тоже болоневая как и верх, а хотелось бы конечно флис. но в целом штаны супер. рекомендую.",positive
на бедра 96 огромные,positive
"Девочки не берите эту тряпку! Это просто ужас, а не вещь! Размерам сетка не соответствует!  Я брала такие боди у gagaopt, белый и чёрный. Фото приложены! Там только кололось сильно, но сшито идеально! Позарилась на красный цвет здесь. Я в ужасе. Все кривое, косое. Одеваешь падает на полгруди, тянешь выше,  мало не держится совсем, так и открывает полпирожка!  Офигеть на море пофоткались!  дрянь и дрянь! Материал тянется как на слона! На маму налезло! У нас 4 размера разницы! Смотрите фото.",negative
хорошая рубашка на работу.пришла быстро.,positive
"Цвет красивый, материал хороший, но пошиты очень странно. В бедрах нормально, только в низу ширинки пузырь собирается. В талии туго. В ногах узкие. Это не бойфренд.",neutral
"В целом сорочка хорошая, ширина и длина как в описании, однако ткань очень сильно электризуется",neutral
"Платье заказала 28.08.2017 получила 20.09.2017. Платье очень красивое. На свой 46-48 заказала L, село хорошо. Спасибо большое продавцу. Платье рекомендую.",positive
"по срокам очень быстро, в Пермь за 10 дней, по качеству см. фото-если умеешь шить , то это ерунда. с размером не угадали , чуть велико.",neutral
Товар не получила! никакой коммуникации и продления срока защиты от продавца! Обман!,negative
Отлично!,positive
ТОВАР СРЕДНЕГО КАЧЕСТВА. ПРОДАВЕЦ  НЕ ОБЩИТЕЛЬНЫЙ СОВСЕМ. НЕ РЕКОМЕНДУЮ ДАННЫЙ МАГАЗИН.,neutral
"На рост 174 см это конечно удлиненный свитер. 100% полиэстер.  На рос.42 размер он даже широковат, именно сидит как свитер. В черном цвете не просвечивает, воротник можно носить как ""кармен"" и просто хомут. Длина рукавов просто отличная, даже девчонкам высоким подойдет. Огромный минус - это катышки, при первой же примерке образовались, поэтому вещь на 3 раза, а дальше выкинуть, что не рационально. Кстати зацепки на полочке тоже были, но спор не открывала, они со стороны изнанки. Нитки необрезанные есть. Бирочки есть. Доставка быстрая до Москвы. Замеры точность описания продавца верны.",neutral
Very good,positive
"не читала подробное описание видимо, но у носочков снизу есть надпись, которая ни на что не влияет, потому что кто вам на пятки смотреть вообще будет.
носочки пришли быстро, чистые, аккуратные, без ниток, смотрятся на ноге здорово. за такую цену просто здоровский товар, спасибо:)",positive
"Хорошие брюки. Доставка очень быстрая. 
Продавца и магазин рекомендую.",positive
"пришла с браком, продавец намекал что майка была повреждена мной. деньги вернули через спор.",negative
"Блузка так и не пришла.  Хоть деньги и
 вернули. В статусе написано,  заказ выполнен. Жаль, столько времени ждала.",negative
пришел совершенно не тот цвет!!!!!под юбку к которой я заказывала совершенно не подходит!!!очень обидно что такое отношение!!!!,negative
заказ не пришел. деньги  вернули,negative
"На размер 44-46 заказывала размер L. Подошло идеально,качество хорошее.",positive
Абсолютно не соответствует описанию. Я огорчена,neutral
Товар не соответствует данным фото мех не такой как на фото да и ткань отличается(не удобные короткие вообще не советую,neutral
Берите! Материал отличный! Не синтетика,positive
торчат нитки,neutral
"ткань тонкая, не тянется.",neutral
"Сшита аккуратно,  бирки  с размером и с составом  нет.  На ощупь не очень приятная. За такую цену можно у другого продавца купить более качественную. Больше заказывать не буду.",neutral
Заказ шёл 3 недели. Размер маловат. На протяжении доставки заказ не отслеживался вообще,negative
"Размер М соответствует российскому размеру 46-48, не врезаются, хорошо тянутся, качество отличное!!!!",positive
"платье  в целом не плохое,но ткань оставляет желать лучшего.",neutral
"На параметры 90-68-100 подошёл хорошо М, рост в притык, на 176! Так супер все, думаю для фоток будет круто!",positive
"мне не понравилась эта блузка, минусы:
-просвечивает
-размерная сетка не соответствует, тем самым она мне оказалась мала мне(
-и она не белого цвета как на фото а молочного
деньги зря потратила только, немного но все равно обидно",neutral
"Обработали и доставили быстро, но пришло с пятном черным на спине, я совсем расстроена. По качеству супер. Но из за пятна даже и не знаю как носить. оно не отстирывается. Минус огромный.",neutral
"Длина маленькая, обхват большой. Но носить можно",neutral
хорошее платье за такие деньги. подошло по размеру,positive
"Качество норм, правда оооочень тонкие. Я ношу размер s, шорты заказала m с запасом. Но все равно оказались немного малы. ",positive
Полное не совпадение с представленным товаром на сайте. Качество отвратное,negative
"материал - одна химия, ничего натурального.",negative
"Описание не совпадает с тем что прислали, и сшито неправильно",neutral
"по размеру хорошо. на рост 165см длинное, но главное не короткое.неплохое платье.синтетика, но к телу приятное.мокрые следы остаются долго",positive
"размер l оказался   не 46 размер а только 42,кофта мала",neutral
"Жутко пахнет уксусом. Размеры не соответствуют. Не очень довольна. Замочила в воде, футболка выделила очень много краски.",neutral
Заказом довольна.Но немного низковата посадка трусов.На российский 48-50 брала xl как раз хорошо.Спасибо продавцу!,positive
все плохо. некрасиво. не заказывайте. тряпка половая. не соответствует картинке,negative
"Курточка прямо совсем как на фото. И цвет, и фасон. Я очен-очень довольна. Моя грудь 88, талия 60. Куртка села замечательно. В талии свободна, но фасон подчёркивает талию. Всем советую. И цена и инструкция спесивое отличные. Пожалуй, добавлю магазин в любимые.",positive
блестят сильно. дешево выглядит. только дома носить,negative
"заказ шел очень долго,строчки не очень ровные и сборят материал,бретели пришиты некрасиво",negative
"Куртка не понравилась, качество совсем не такое, как ожидала. На капюшоне был брак. Продавец обещал сделать мизерную скидку, и ту зажал. Очень не довольна!",neutral
"Красивый свитер, очень тёплый и уютный, рекомендую ",positive
"Соответствует цене, несколько зацепок, торчащие нитки. Качество на 3",neutral
Спасибо! Все супер. Качество хорошее.,positive
